ID	Nome tool	Anche conosciuto come	Descrizione di massima	Proprietà	Prerequisiti necessari	Perfetto se...	Fase	Metriche	Ti serviranno	Esempi di tool	To-do	Dream team	Difficoltà maggiori	Anteprima	Storia / esempio	Potrebbe interessarti anche
1	A/B test	Split Testing, Bucket Testing	L'A/B testing è un esperimento controllato per capire quale tra due varianti di uno stesso elemento (es. pagina di un sito, widget, template email) sia la più performante secondo una metrica di successo misurabile. Il test può essere effettuato sia su singole funzionalità (es. bottone rosso vs. bottone blu) che su pagine più strutturate (es. Versione 1 e 2 della pagina Contatti).	COST ** SETUP TIME ** RUN TIME *** EVIDENCE STRENGTH ***	Versione A e B dell'elemento da testare	Vuoi essere sicuro che ogni cambiamento introdotto all'interno del tuo prodotto/servizio introduca risultati positivi misurabili rispetto alla versione esistente.  Sei indeciso tra due varianti (due messaggi, due layout etc.).	soluzione	Visite uniche, click through rate, conversioni (es. numero di download, numero di iscrizioni, etc).	Software per automatizzare A/B test. Esistono anche varianti con composer visivi in cui non serve sviluppare codice.	Instapage, Optimizely, A/B Tasty, Adobe Target.	- Identifica la metrica che vuoi monitorare\n  - Scegli il tool che più si adatta alle tue esigenze\n  - Configura e testa il tool\n  - Distribuisci il tuo pubblico in percentuale tra le due varianti da testare (es. 50% vedono la variante A e 50% vedono la variante B)\n  - Lancia il tuo A/B test\n  - Monitora il test nel tempo fino a che non collezioni una quantità di dati utili a prendere una decisione\n  - Scegli la versione più performante\n	Developer, Designer, PO/PM	Prima di dichiarare un vincitore, assicurati che le variazioni abbiano ricevuto abbastanza esposizione (in termini di impressioni e tempo) perché il risultato del test sia statisticamente significativo.	Monitora le performance di due elementi differenti (elemento A e B) per capire quale delle due versioni è la più efficace.		
2	Five seconds test	Quick Exposure Memory Test	Se è vero che la prima impressione è quella che conta, pochi secondi possono bastare ad un utente per "farsi un'idea" di un brand, di un prodotto, di un sito e decidere se proseguire o abbandonare la pagina. Il five second test è un test di 5 secondi per misurare quali informazioni vengono percepite e quali impressioni suscitate nell'utente la prima volta che viene in contatto con l'oggetto del test.	COST * SETUP TIME * RUN TIME * EVIDENCE STRENGTH *	Un design da testare (può essere un logo, una landing page, il visual di una campagna).  Un campione di utenti a cui sottoporre il test (circa una ventina)	Vuoi misurare la primissima impressione che il tuo prodotto suscita negli utenti.	soluzione	In generale, si possono semplicemente classificare i risultati in due gruppi:  "chi ha capito" e "chi non ha capito".   Se più dell'80% circa dei partecipanti è nel primo gruppo, il test è superato con successo. Se il numero è più basso, è molto probabile che sia necessario apportare dei cambiamenti.	Se i test sono condotti di persona ti servirà un supporto visivo (es. immagine del tuo logo). Se i test sono condotti da remoto ti basta uno strumento di video call e un supporto digitale (presentazione, board condivisa etc.). Esistono anche dei tool per automatizzare il test e raccogliere i risultati senza la mediazione di una persona.	UserBob, Maze	- Identifica in modo chiaro cosa vuoi testare (es. un logo, un messaggio, un layout...)\n  - Mostra l'oggetto del test ad una persona per un tempo che va dai 5 ai 15 secondi\n  - Nascondi l'oggetto del test e chiedi alla persona di descrivere cosa ha visto\n  - Per verificare la comprensione, suggeriamo di fare delle domande come "Qual è lo scopo di questa pagina?", "A chi è rivolta?", "Cosa ti evoca questo brand?", "Qual è stata la tua prima impressione?", "Quali parole e frasi ricordi?"\n  A seconda dell'obiettivo del test, prima dell'inzio è anche possibile dare ai partecipanti un contesto a cui prestare attenzione.	Designer, PO/PM	Non è adatto a testare la comprensione di informazioni complesse, un testo molto lungo o una pagina molto strutturata.	Analizza la primissima impressione suscitata nell'utente finale alla vista di un nuovo sito web, logo, brand identity.		
3	Button to nowhere	404 test	Questo esperimento consente di validare rapidamente un'idea (può essere un prodotto, un servizio o una feature) mostrando agli utenti un'opzione che in realtà non esiste. Si può simulare, ad esempio, inserendo un bottone che introduce una nuova funzionalità in una pagina del tuo sito/app. Cliccando sul bottone, il sistema farà sapere all'utente che la feature non è ancora disponibile.  Con questa tecnica è possibile misurare se la nuova funzionalità incontra l'interesse degli attuali consumatori sulla base del comportamento reale (e non di quello dichiarato, ad esempio, in un'intervista).	COST * SETUP TIME * RUN TIME *** EVIDENCE STRENGTH ***	Una pagina funzionante in cui inserire il bottone. Un sistema di tracciamento per misurare l'interesse degli utenti	Vuoi capire l'interesse degli utenti rispetto ad un contenuto/funzionalità prima di dedicare del tempo a costruirli. Puoi utilizzarlo per raccogliere le email delle persone interessate al servizio e contattarle successivamente (per approfondire i loro bisogni o per aggiornarli in fase di lancio).	idea	Click through rate	La versione online del tuo sito/prodotto digitale, in modo che sia effettivamente accessibile dagli utenti finali.	Non è necessario l'utilizzo di nessun tool specifico. Integra il bottone direttamente all'interno del tuo sito (Wordpress, Drupal, Webflow, etc.).	- Identifica la nuova funzionalità che vorresti inserire nel tuo prodotto digitale\n  - Aggiungi un bottone o un box che promuova il "finto servizio"\n  - Al click sul bottone, il sistema visualizzerà un messaggio informativo (es. "Il servizio non è ancora disponibile, ti aggiorneremo non appena sarà pronto per il lancio")\n  - Assicurati di aggiungere un form per raccogliere le email delle persone, se ti interessa collezionare i loro dati\n  - Monitora il click trough rate per avere una metrica quantitativa dell'interesse mostrato dagli utenti\n	Developer, Designer, Copywriter, PO/PM	Le parole, la posizione e il design (colore e dimensione) usati per il bottone possono influenzare l'esito del test. Una soluzione può essere quella di sperimentare versioni alternative posizionando il bottone in punti diversi dell'interfaccia.  Questo esperimento potrebbe inficiare la credibilità del tuo servizio e c'è il rischio che alcuni visitatori si sentano raggirati dal test. Una buona comunicazione è la chiave per superare questi ostacoli.	Misura la desiderabilità di una nuova feature per i consumatori finali e raccogli contatti email per i lanci futuri del prodotto.		Fake door testing
4	Google Trends	-	Google Trends, come suggerisce i nome, traccia i termini che la gente cerca e il traduce in tendenze. È possibile scegliere il periodo di tempo e la posizione geografica per vedere la popolarità dei termini di ricerca. Non è lo strumento giusto per avere i dati su parole specifiche (per quello c'è Google Adwords) ma piuttosto è il posto dove un'idea della popolarità del tuo prodotto e delle zone geografiche in cui è più cercato. 													
5	Extreme Programming (XP)		Metodologia di lavoro i cui i valori base sono semplicità, rispetto, feedback, comunicazione e coraggio. XP promuove una serie di pratiche che il team di sviluppo può mettere in atto per massimizzare l'efficacia del proprio lavoro e per far sì che il codice sia flessibile e facilmente modificabile.	COST ** SETUP TIME ** RUN TIME ** EVIDENCE STRENGTH **	Team di sviluppo con solide pratiche tecniche già in uso (TDD, CI, Pair Programming, etc)	"devi realizzare del software per esplorare e validare velocemente un nuovo dominio di business"	idea	Meno bug, codice più manutenibile, lead time minore (tempo che intercorre tra l'idea di business e la messa in produzione)	Probabilmente ti serviranno persone in grado di formare il tuo team e/o tempo di formazione per il miglioramento continuo.	Non è necessario l'utilizzo di nessun tool specifico. Integra la metodologia all'interno del tuo team assicurandoti che le pratiche base come TDD e CI siano già messe in atto.	1. Identifica un team che abbia voglia di sperimentare XP.\n  2. Assicurati di avere a disposizione una o più persone in grado di formare il tuo team (preferibilmente "on the job")\n  3. Fai in modo che il tuo team possa parlare confrontarsi con una o più persone di business per rispondere ad eventuali domande sul dominio che vuoi esplorare utilizzando XP.\n  4. Fai in modo che il tuo team si focalizzi sul miglioramento continuo.\n	Developer, XP coach  Il tuo team ha bisogno di un XP coach? Contatta Christian Fei	Difficilmente il tuo team potrà applicare correttamente il metodo se non ha la possobilità di esere formato/confrontarsi con qualcuno che abbia già esperienze con XP.  Assicurati di avere una persona di business che sia parte attiva del team di sviluppo.		C3	SCRUM, Pair Programming, MOB Programming, Kanban
6	Wizard of Oz	Manual-first	Come nella storia del mago di Oz, con questo esperimento puoi creare l'illusione di un'automazione. L'ignaro utente non saprà mai che dei task apparentemente compiuti dal sistema sono in realtà gestiti manualmente da una persona fisica che sta lavorando dietro le quinte per portarli a termine. Per essere credibile cerca di costruire l'esperimento in modo che non sia necessaria una risposta in tempo reale per validare la proposizione di valore che vuoi testare.	COST * SETUP TIME ** RUN TIME ** EVIDENCE STRENGTH **	Un prototipo, un'interfaccia grafica o vocale (il sistema front-end con cui l'utente interagirà). Una o più persone disposte a simulare l'automazione tecnologica dietro le quinte	Vuoi capire se un'automazione complessa risponde ai bisogni dei tuoi clienti prima di investire risorse per implementarla.	soluzione	Consente ai ricercatori di raccogliere dati comportamentali su come gli utenti interagiscono effettivamente con un prodotto (gradimento, facilità d'uso, feedback qualitativi...).	-	Amazon Mturk, microWorkers	- Definisci il comportamento che vorresti implementare (automazione complessa, intelligenza artificiale, assistente vocale etc.)\n  - Identifica quali sono gli aspetti di valore per il tuo cliente\n  - Scrivi uno script e identifica quali passaggi possono essere simulati da una persona umana dietro le quinte (es. simulare le risposte di un bot o di un robot)\n	Researcher, Designer, PO/PM	Il Wizard of Oz è uno dei modi più veloci ed efficaci per verificare se le soluzioni proposte creano valore per gli utenti. Poiché il test viene eseguito manualmente, è possibile modificare rapidamente la soluzione e testare un gran numero di ipotesi, trovando le soluzioni più efficaci. In base alle ipostesi da verificare, la mole di lavoro umano necessaria potrebbe essere consistente, ma l'obiettivo è mantenere i costi complessivi inferiori a quelli necessari per implementare realmente l'idea.	Simula l'intelligenza artificiale o un'automazione complessa grazie all'aiuto dietro le quinte di un essere umano. 	https://blog.prototypr.io/prototyping-voice-interfaces-with-wizard-of-oz-c3fe4362dd24	
7	Prototipo cliccabile	Digital Prototype, Clickthrough Prototype, Clickable prototype	Il prototipo cliccabile è un insieme di schermate collegate tra di loro che simulano le interazioni di un prodotto finito. Dovrebbe essere l'ultimo step prima di costruire il prodotto vero e proprio. Prima di disegnare le schermate e collegarle tra loro puoi usare degli strumenti meno costosi come prototipi di carta o una customer discovery interview.	COST ** SETUP TIME ** RUN TIME * EVIDENCE STRENGTH **	-	Vuoi validare l'interfaccia di un prodotto digitale prima di passare allo sviluppo.	soluzione	Tempo per completare un task, discostamento dal percorso ottimale, feedback qualitativi, atteggiamento e body language.	Un software che ti permetta di collegare le schermate e simulare le interazioni senza che sia necessiario scrivere codice.	InVision, Figma	- Disegna le schermate dell'interfaccia ad alta-fedeltà\n  - Definisci le aree cliccabili\n  - Collega tra loro le schermate per coprire i flussi che ti interessa simulare\n  - Disegna comportamenti, interazioni e animazioni che permettano all'utente di utilizzare il prototipo come se fosse un prodotto digitale vero e proprio\n  - Condividi il tuo prototipo e colleziona i dati/feedback emersi\n	Designer, Copywriter, PO/PM	Inizia con un prototipo piccolo, veloce ed economico. Più si va avanti nel  processo, più l'interfaccia diventa complessa da aggiornare e apportare cambiamenti all'intero prototipo può diventare costoso.  Presentare un prototipo non perfetto, rendendolo in alcuni casi "brutto"/incompleto può aiutare le persone a sentirsi a proprio agio nel dare critiche costruttive.	Un insieme di schermate collegate per simulare il comportamento del tuo prodotto digitale e valildare in modo più rapido la soluzione.		
8	Test di usabilità	Usability test, User testing 	Si tratta di sessioni in cui si osserva un utente interagire con un servizio digitale. I test vengono svolti individualmente, assegnando all'utente uno o più task da svolgere e analizzando il suo comportamento e le sue considerazioni nel portarli a termine.	COST ** SETUP TIME ** RUN TIME ** EVIDENCE STRENGTH **	Per validare un prodotto/servizio digitale in modo efficace è consigliabile avere a disposizione un prototipo o avere accesso diretto al prodotto del quale si desirano raccogliere insights (es. sito, app, etc). Sono necessarie almeno 5 persone alle quali sottoporre il prototipo oggetto del test	Vuoi identificare i problemi nel design e nell'usabilità di un prodotto o di un servizio e al contempo sapere di più sui comportamenti e le preferenze dei tuoi utenti.	soluzione	Tasso di successo, tempo di completamento del task, feedback qualitativi.	Puoi utilizzare dei tool digitali che ti facilitino nello svolgimento del test e che ti permettano di utilizzare un unico strumento per condurre l'intervista, mostrare il prototipo e registrare le interazioni.	Usabilla, Loop11, UsabilityHub	- Definisci la tipologia di utenti da coinvolgere e i task che dovranno svolgere\n  - Pianifica una sessione individuale con ogni partecipante\n  - Durante ciascuna sessione un facilitatore affianca il partecipante, descrivendo i task da svolgere e osservando l'interazione senza interromperlo o influenzarlo. Un note-taker prende appunti e registra i risultati\n  - Ringrazia i partecipanti con un buono (es. Amazon) o altro reward (es. 1 mese di utilizzo gratuito dell'app testata)\n  - Redigi un report finale che metta in luce aspetti positivi e/o critici dell'esperienza d'uso attuale sulla base dei dati raccolti\n	Designer, Researcher/facilitator	Assicurati di selezionare un campione rappresentativo dei tuoi utenti finali. Il processo di reclutamento può rivelarsi sfidante: fai affidamento sulle agenzie specializzate se il tuo target è difficile da raggiungere.  Se le interviste vengono condotte online o "da remoto", assicurati che l'intervistato possa accedere correttamente al prototipo/prodotto in autonomia.	Un'intervista moderata per scoprire cosa gli utenti pensano del tuo prodotto.		
9	Interviste one-to-one	User interviews, Interviste utente	Sessioni individuali di ricerca condotte per comprendere in profondità bisogni inespressi, motivazioni e comportamenti degli utenti direttamente nel contesto in cui il prodotto o servizio verrà inserito e utilizzato.	COST * SETUP TIME ** RUN TIME ** EVIDENCE STRENGTH **	Una sequenza di argomenti e domande per condurre l'intervista. Durante la sessione, la conversazione può prendere direzioni diverse: avere uno script di partenza aiuta il ricercatore a ricordare gli aspetti chiave da esplorare	Vuoi comprendere i bisogni e i comportamenti degli utenti validando un'idea di prodotto o servizio prima di inziare la fase di progettazione. È utile all'inizio di un progetto per esplorare un tema o un problema che si vuole affrontare.	problema, idea	Al termine dell'attività di ricerca si analizzano le note e si individuano i pattern di comportamento emersi, i temi ricorrenti e i feedback condivisi dalla maggioranza dei partecipanti.	Uno script dell'intervista con le domande da porre all'intervistato, un excel/documento in cui raccogliere i feedback degli utenti. È inoltre consigliabile registrare (video/audio) le interviste in modo da poterle riguardare in seguito ed eventualmente integrare le annotazioni. In questo caso, ti servirà una liberatoria da far firmare agli intervistati.	Otter, PearNote, OBS project	- Identifica l'obiettivo della ricerca e le persone che desideri intervistare per raggiungere l'obiettivo\n  - Prepara la guida alla discussione identificando le tematiche da affrontare e le domande da porre in fase di intervista\n  - Prepara l'excel/documento di raccolta feedback\n  - Assicurati di configurare correttamente i tool per la registrazione/trascrizione dell'intervista\n  - Identifica un note-taker per avere supporto nell'annotare i commenti delle persone durante le interviste\n  - Se possibile, alloca parte del tuo budget per ringraziare i partecipanti della loro partecipazione con un buono (es. Amazon)\n	Researcher, note-taker	Identificare le giuste persone da coinvolgere è più difficile di quanto sembri: assicurati di scegliere correttamente gli intervistati per raccogliere insight davvero di valore.	Una conversazione strutturata per esplorare esigenze e comportamenti dei tuoi utenti.		
10	Proto-personas	Lightweight Persona, Proto-personaggi	Sono la miglior assunzione che possiamo fare sull'utente finale. Definiscono, in modo speculativo, quali sono i suoi bisogni, le sue necessità e i suoi problemi. Non si basano su nessun tipo specifico di ricerca e devono essere validati nel tempo via via che si acquistano ulteriori informazioni e dettagli sugli utenti. Utilizza la proto-persona come guida nelle scelte progettuali, ricordandoti che non rappresenta una fotografia della realtà ma la miglior scommessa su "chi è l'utente" e quali sono i suoi bisogni e i suoi comportamenti.	COST * SETUP TIME * RUN TIME ** EVIDENCE STRENGTH *	Può aiutarti partire da ricerche di mercato, osservatori, report relativi al settore di business in cui si colloca il tuo prodotto/servizio	Non hai budget a sufficienza da dedicara alla fase di ricerca ma vuoi comunque mantenere un approccio alla progettazione il più possibile "user-centered". Non si tratta di rinunciare alla ricerca ma di adottare un processo incrementale, abbozzando un modello di partenza da raffinare in seguito per arrivare alla definizione delle personas vere e proprie.	problema	-	Nelle versione più semplice le proto-personas possono essere fatte a mano utilizzando carta e penna. Per le versioni più complesse/graficate è possibile utilizzare software dedicati.	HubSpot	- Riunisci allo stesso tavolo tutte le persone che potrebbero avere informazioni utili sui tuoi utenti (membri del team, stakeholder, esperti di dominio etc) o cerca di recuperare le informazioni relative agli utenti (analytics, richieste customer care, analisi di mercato etc)\n  - Suddividi un foglio A4 in 4 quadranti\n  - Riempi i diversi quadranti con i dettagli della proto-persona: nome, bio o breve descrizione, comportamenti/abitudini, necessità e problemi\n  - Aggiorna periodicamente la tua proto-personas con l'emergere di nuove informazioni sull'utente\n	Designer, stakeholders, customer-care	-	La miglior scommessa che possiamo fare sull'utente finale da validare successivamente con un percorso di ricerca incrementale.		
